level1,level2,level3,,sv,en
1,,,,Naturvetenskap,Natural sciences 
,,,,,
,101,,,Matematik,Mathematics
,,10101,,Matematisk analys,Mathematical Analysis
,,10102,,Geometri,Geometry
,,10103,,Algebra och logik,Algebra and Logic 
,,10104,,Diskret matematik ,Discrete Mathematics 
,,10105,,Beräkningsmatematik,Computational Mathematics 
,,10106,,Sannolikhetsteori och statistik,Probability Theory and Statistics 
,,10199,,Annan matematik,Other Mathematics
,,,,,
,102,,,Data- och informationsvetenskap (Datateknik)    ,Computer and Information Sciences
,,10201,,Datavetenskap (datalogi),Computer Sciences 
,,10202,,"Systemvetenskap, informationssystem och informatik (samhällsvetenskaplig inriktning under 50804)",Information Systems (Social aspects to be 50804)
,,10203,,Bioinformatik (beräkningsbiologi) (tillämpningar under 10610),Bioinformatics (Computational Biology) (applications to be 10610)
,,10204,,Människa-datorinteraktion (interaktionsdesign) (Samhällsvetenskapliga aspekter under 50803),Human Computer Interaction (Social aspects to be 50803)
,,10205,,Programvaruteknik,Software Engineering 
,,10206,,Datorteknik,Computer Engineering 
,,10207,,Datorseende och robotik (autonoma system),Computer Vision and Robotics (Autonomous Systems)
,,10208,,Språkteknologi (språkvetenskaplig databehandling),Language Technology (Computational Linguistics)
,,10209,,Medieteknik,Media and Communication Technology 
,,10299,,Annan data- och informationsvetenskap,Other Computer and Information Science 
,,,,,
,103,,,Fysik,Physical Sciences
,,10301,,Subatomär fysik,Subatomic Physics
,,,,Häri ingår:,Including:
,,,,fält- och partikelfysik,Particle and Field Physics
,,,,astropartikelfysik,Astroparticle Physics
,,,,kärnfysik,Nuclear Physics
,,10302,,Atom- och molekylfysik och optik ,Atom and Molecular Physics and Optics 
,,,,Häri ingår:,Including:
,,,,kemisk fysik,Chemical Physics
,,,,laseroptik,Laser Optics
,,,,kvantoptik,Quantum Optics
,,10303,,"Fusion, plasma och rymdfysik ","Fusion, Plasma and Space Physics "
,,10304,,Den kondenserade materiens fysik ,Condensed Matter Physics 
,,10305,,"Astronomi, astrofysik och kosmologi","Astronomy, Astrophysics and Cosmology"
,,10306,,Acceleratorfysik och instrumentering ,Accelerator Physics and Instrumentation
,,10399,,Annan fysik ,Other Physics Topics
,,,,,
,104,,,Kemi,Chemical Sciences
,,10401,,Analytisk kemi,Analytical Chemistry 
,,10402,,Fysikalisk kemi,Physical Chemistry
,,,,Häri ingår:,Including:
,,,, kolloidkemi, Colloid Chemistry
,,10403,,Materialkemi ,Materials Chemistry 
,,10404,,Oorganisk kemi,Inorganic Chemistry
,,,,Häri ingår:,Including:
,,,,elektrokemi,Electrochemistry
,,,,kärnkemi,Nuclear Chemistry
,,10405,,Organisk kemi,Organic Chemistry 
,,10406,,Polymerkemi ,Polymer Chemistry 
,,10407,,Teoretisk kemi,Theoretical Chemistry
,,,,Häri ingår:,Including:
,,,,kvantkemi, Quantum Chemistry
,,10499,,Annan kemi,Other Chemistry Topics
,,,,,
,105,,,Geovetenskap och miljövetenskap,Earth and Related Environmental Sciences
,,10501,,Klimatforskning,Climate Research  
,,10502,,Miljövetenskap (Samhällsvetenskapliga aspekter under 507) ,Environmental Sciences (social aspects to be 507) 
,,10503,,Multidisciplinär geovetenskap ,"Geosciences, Multidisciplinary"
,,10504,,Geologi,Geology
,,10505,,Geofysik,Geophysics
,,10506,,Geokemi ,Geochemistry
,,10507,,Naturgeografi ,Physical Geography
,,10508,,Meteorologi och atmosfärforskning ,Meteorology and Atmospheric Sciences 
,,10509,,"Oceanografi, hydrologi och vattenresurser ","Oceanography, Hydrology and Water Resources"
